# created by LinkChecker at 2025-07-04 16:11:42-004
# Read the documentation at https://linkchecker.github.io/linkchecker/
# Write comments and bugs to https://github.com/linkchecker/linkchecker/issues
urlname;parentname;base;result;warningstring;infostring;valid;url;line;column;name;dltime;size;checktime;cached;level;modified
http://localhost:8081;;;200 OK;;;True;http://localhost:8081;;9.608268737792969e-05;84167;0.01432490348815918;0;0;
https://cdn.jsdelivr.net/npm/vanilla-lazyload@17.3.0/dist/lazyload.min.js;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://cdn.jsdelivr.net/npm/vanilla-lazyload@17.3.0/dist/lazyload.min.js;1865;3;;-1;-1;0;0;1;
https://script.tapfiliate.com/tapfiliate.js;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://script.tapfiliate.com/tapfiliate.js;1855;5;;-1;-1;0;0;1;
https://www.facebook.com/tr?id=415019276437410&ev=PageView&noscript=1;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://www.facebook.com/tr?id=415019276437410&ev=PageView&noscript=1;1851;11;;-1;-1;0;0;1;
https://q.quora.com/_/ad/f54999afdfd5493b86821c53ba3f4546/pixel?tag=ViewContent&noscript=1;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://q.quora.com/_/ad/f54999afdfd5493b86821c53ba3f4546/pixel?tag=ViewContent&noscript=1;1827;11;;-1;-1;0;0;1;
//p.tgtag.io/event?property_id=tg-002991-001&event_name=pageview&no_script=1;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;http://p.tgtag.io/event?property_id=tg-002991-001&event_name=pageview&no_script=1;1818;11;;-1;-1;0;0;1;
https://slashdot.org/software/p/Docsie/;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://slashdot.org/software/p/Docsie/;1452;17;Docsie Reviews;-1;-1;0;0;1;
https://sourceforge.net/software/product/Docsie/;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://sourceforge.net/software/product/Docsie/;1449;17;Docsie Reviews;-1;-1;0;0;1;
https://terms.docsie.io/?doc=/privacy-policy/cookies-policy/;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://terms.docsie.io/?doc=/privacy-policy/cookies-policy/;1445;15;Cookie Policy;-1;-1;0;0;1;
https://cdn.docsie.io/workspace_PfNzfGj3YfKKtTO4T/doc_QiqgSuNoJpspcExF3/file_Sk8C5JwxunC0eCDRP/section_02_4k_ai_technical_writer_assistants_4k_86b4c254-6cf1-18d7-ec44-cef77bf925e7.jpg;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://cdn.docsie.io/workspace_PfNzfGj3YfKKtTO4T/doc_QiqgSuNoJpspcExF3/file_Sk8C5JwxunC0eCDRP/section_02_4k_ai_technical_writer_assistants_4k_86b4c254-6cf1-18d7-ec44-cef77bf925e7.jpg;720;13;AI Writer Demo;-1;-1;0;0;1;
https://terms.docsie.io/?doc=/privacy-policy/;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://terms.docsie.io/?doc=/privacy-policy/;1439;15;Privacy policy;-1;-1;0;0;1;
https://app.docsie.io/schema/redoc/;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://app.docsie.io/schema/redoc/;1420;15;Docsie API Docs;-1;-1;0;0;1;
https://www.instagram.com/docsie.io/;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://www.instagram.com/docsie.io/;1417;15;Instagram;-1;-1;0;0;1;
https://twitter.com/likalo_llc;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://twitter.com/likalo_llc;1414;15;Twitter;-1;-1;0;0;1;
https://www.linkedin.com/company/likalo/;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://www.linkedin.com/company/likalo/;1411;15;LinkedIn;-1;-1;0;0;1;
https://www.youtube.com/channel/UCnQm591jTzvHwb003Y8e1XA;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://www.youtube.com/channel/UCnQm591jTzvHwb003Y8e1XA;1408;15;Youtube;-1;-1;0;0;1;
https://www.g2.com/products/docsie/reviews;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://www.g2.com/products/docsie/reviews;1153;7;View all reviews on G2;-1;-1;0;0;1;
https://cdn.docsie.io/workspace_PfNzfGj3YfKKtTO4T/doc_QiqgSuNoJpspcExF3/file_TrzX8tlRBbNLtvTDw/section_02_4k_custom_content_prompts_4k_049b1727-f9d3-54fa-8305-6db4beeb5fb9.jpg;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://cdn.docsie.io/workspace_PfNzfGj3YfKKtTO4T/doc_QiqgSuNoJpspcExF3/file_TrzX8tlRBbNLtvTDw/section_02_4k_custom_content_prompts_4k_049b1727-f9d3-54fa-8305-6db4beeb5fb9.jpg;740;13;Custom Prompts Demo;-1;-1;0;0;1;
https://cdn.docsie.io/workspace_PfNzfGj3YfKKtTO4T/doc_QiqgSuNoJpspcExF3/file_ZIWX8FPwQjeMpr6dD/section_02_4k_knowledge_base_powered_chatbot_4k_b348d25e-dfb0-dccd-5f20-36a5c8cc6b09.jpg;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://cdn.docsie.io/workspace_PfNzfGj3YfKKtTO4T/doc_QiqgSuNoJpspcExF3/file_ZIWX8FPwQjeMpr6dD/section_02_4k_knowledge_base_powered_chatbot_4k_b348d25e-dfb0-dccd-5f20-36a5c8cc6b09.jpg;700;13;Video to Documentation Demo;-1;-1;0;0;1;
https://terms.docsie.io/?doc=/terms-of-service/;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://terms.docsie.io/?doc=/terms-of-service/;1442;15;Terms of service;-1;-1;0;0;1;
https://cdn.docsie.io/workspace_PfNzfGj3YfKKtTO4T/doc_RPHGodDH7eiQMPaWX/file_7bzmHAHl6c1ffNDmI/chatbot_4e63979f-c76d-9ea9-9148-dbc937e83b78.gif;http://localhost:8081;;filtered;;The URL is outside of the domain filter, checked only syntax.;True;https://cdn.docsie.io/workspace_PfNzfGj3YfKKtTO4T/doc_RPHGodDH7eiQMPaWX/file_7bzmHAHl6c1ffNDmI/chatbot_4e63979f-c76d-9ea9-9148-dbc937e83b78.gif;680;13;AI Chatbot Demo;-1;-1;0;0;1;
